Category,Indicator name,Description,Definition (US),Definition (global),US item,Global item,US indicator start,US indicator end,Global indicator start,Global indicator end
Vaccines,vaccine_incomplete_otherpeople,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesistant because they think other people need it more.",(V5d == 'I think other people need it more...') / (any response to V5d),(V5d == 'I think other people need it more...') / (any response to V5d),V5d,V5d,2021-02-07,2021-08-07,2021-02-28,2021-09-04
Vaccines,vaccine_incomplete_cost,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesistant because they are concerned about the cost of the vaccine.",(V5d == 'I am concerned about the cost of a COVID-19 vaccine') / (any response to V5d),(V5d == 'I am concerned about the cost of a COVID-19 vaccine') / (any response to V5d),V5d,V5d,2021-02-07,2021-08-07,2021-02-28,2021-09-04
Vaccines,vaccine_incomplete_religion,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesitant because of their religious beliefs.",(V5d == 'It is against my religious beliefs') / (any response to V5d),(V5d == 'It is against my religious beliefs') / (any response to V5d),V5d,V5d,2021-02-07,2021-08-07,2021-02-28,2021-09-04
Vaccines,vaccine_incomplete_other,"Among respondents that have. already had at least one dose of vaccine, the percentage that reported ""other"" when asked reasons for hesitancy.",(V5d == 'Other') / (any response to V5d),(V5d == 'Other') / (any response to V5d),V5d,V5d,2021-02-07,2021-08-07,2021-02-28,2021-09-04
Vaccines,vaccine_incomplete_allergic,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesitant due to concerns about allergic reactions.",(V5d == 'I am concerned about having an allergic reaction...') / (any response to V5d),NA,V5d,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,vaccine_incomplete_not_recommended,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesitant because their doctor has not recommended the vaccine.",(V5d == 'My doctor has not recommended it') / (any response to V5d),NA,V5d,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,vaccine_incomplete_distrust_vaccine,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesistant because they distrust COVID-19 vaccines.",(V5d == 'I don't trust COVID-19 vaccines') / (any response to V5d),NA,V5d,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,vaccine_incomplete_distrust_gov,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesitant because they do not trust the government.",(V5d == 'I don't trust the government') / (any response to V5d),NA,V5d,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,vaccine_incomplete_health,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesitant because they have a health condition.",(V5d == 'I have a health condition...') / (any response to V5d),NA,V5d,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,vaccine_incomplete_pregnant,"Among respondents that have already had at least one dose of vaccine, the percentage that are hesitant because they are currently or planning to be pregnant.",(V5d == 'I am currently/planning to be pregnant...') / (any response to V5d),NA,V5d,NA,2021-02-07,2021-08-07,NA,NA
Parenting,children_prek,"Among respondents that reported having children in the household, the percentage that have students in pre-kindergarten or kindergarten.",(E1_1 == 'Yes') / (any response to E1),NA,E1,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_gr1_5,"Among respondents that reported having children in the household, the percentage that have students in grades 1 - 5.",(E1_2 == 'Yes') / (any response to E1),NA,E1,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_gr6_8,"Among respondents that reported having children in the household, the percentage that have students in grades 6 - 8.",(E1_3 == 'Yes') / (any response to E1),NA,E1,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_gr9_12,"Among respondents that reported having children in the household, the percentage that have students in grades 9 - 12.",(E1_4 == 'Yes') / (any response to E1),NA,E1,NA,2020-11-22,2021-12-25,NA,NA
Parenting,inperson_school_fulltime,"Among respondents with children in school, the percentage that attend in person schooling full-time.",(E2_1 == 'Yes') / (any response to E2),NA,E2,NA,2020-11-22,2021-12-25,NA,NA
Parenting,inperson_school_parttime,"Among respondents with children in school, the percentage that attend in person schooling part-time.",(E2_2 == 'Yes') / (any response to E2),NA,E2,NA,2020-11-22,2021-12-25,NA,NA
Parenting,inperson_school_fulltime_oldest,"Among respondents with children in school, the percentage where the oldest child attends in person schooling full-time.",(P5 == 'Going to in person classes') / (any response to P5),NA,E2,NA,2021-12-19,2022-06-25,NA,NA
Parenting,inperson_school_parttime_oldest,"Among respondents with children in school, the percentage where the oldest child attends in person schooling part-time.","(P5 == 'Mix of in-person and online, remote, or distance learning') / (any response to P5)",NA,E2,NA,2021-12-19,2022-06-25,NA,NA
Parenting,remote_school_fulltime_oldest,"Among respondents with children in school, the percentage where the oldest child attends remote schooling full-time.","(P5 == 'Online, remote, or distance learning') / (any response to P5)",NA,E2,NA,2021-12-19,2022-06-25,NA,NA
Parenting,children_school_measure_mask_students,"Among respondents with children in school, the percentage that indicate that their child's school has mandatory mask wearing for all students.",(E3 == 'Mandatory mask-wearing for students') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_mask_teachers,"Among respondents with children in school, the percentage that indicate that their child's school has mandatory mask wearing for teachers.",(E3 == 'Mandatory mask-wearing for teachers') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_same_teacher,"Among respondents with children in school, the percentage that indicate that their child's school has children with the same teacher all day as a mitigation",(E3 == 'Student is with the same teacher') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_same_students,"Among respondents with children in school, the percentage that indicate that their child's school has student with the same students all day as a mitigation.",(E3 == 'Student is with the same students') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_outdoor,"Among respondents with children in school, the percentage that indicate that their child's school as some or all outdoor instruction.",(E3 == 'Some or all outdoor instruction') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_entry,"Among respondents with children in school, the percentage that indicate that their child's school has restricted entry into school as a mitigation.",(E3 == 'Restricted entry into school') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_class_size,"Among respondents with children in school, the percentage that indicate that their child's school has reduced class size as a mitigation.",(E3 == 'Reduced class size') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_cafeteria,"Among respondents with children in school, the percentage that indicate that their child's school has closed the cafeteria as a mitigation.",(E3 == 'Closed cafeteria') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_playground,"Among respondents with children in school, the percentage that indicate that their child's school has closed the playground as a mitigation.",(E3 == 'Closed playground') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_desk_shield,"Among respondents with children in school, the percentage that indicate that their child's school uses desk shields.",(E3 == 'Use of separators of desk shield') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_desk_space,"Among respondents with children in school, the percentage that indicate that their child's school uses extra space between desks as a mitigation.",(E3 == 'Extra space betwen desks') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_extracurricular,"Among respondents with children in school, the percentage that indicate that their child's school has no school-based extracurriculars as a mitigation.",(E3 == 'No school-based extracurriculars') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_supplies,"Among respondents with children in school, the percentage that indicate that their child's school has no sharing of books or supplies as a mitigation.",(E3 == 'No sharing of books or supplies') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Parenting,children_school_measure_screening,"Among respondents with children in school, the percentage that indicate that their child's school has daily symptom screening.",(E3 == 'Daily symptom screening') / (any response to E3),NA,E3,NA,2020-11-22,2021-12-25,NA,NA
Behavior,financial_threat,Percentage of respondents that indicate that COVID-19 is a substantial threat to their household's finances.,(Q36 == 'substantial threat') / (any response to Q36),NA,Q36,NA,2020-04-05,2020-09-12,NA,NA
Sociodemographics,occ_4w_social,"Among respondents that worked for pay in the past 4 weeks, the percentage that indicated that their main occupation is in the community and social service sector.",(Q64 == 'Community and social service') / (any response to Q64),NA,Q64,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,occ_4w_education,"Among respondents that worked for pay in the past 4 weeks, the percentage that indicated that their main occupation is in education, training, and library.","(Q64 == 'Education, training, ...') / (any response to Q64)",NA,Q64,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,occ_4w_arts,"Among respondents that worked for pay in the past 4 weeks, the percentage that indicated that their main occupation is in the arts, design, entertainment, sports, and media sector.","(Q64 == 'Arts design, entertainment, sports, and media') / (any response to Q64)",NA,Q64,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,occ_4w_health_prac,"Among respondents that worked for pay in the past 4 weeks, the percentage that indicated that their main occupation is healthcare practitioner or technician.",(Q64 == 'Healthcare practitioners') / (any response to Q64),NA,Q64,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,occ_4w_health_support,"Among respondents that worked for pay in the past 4 weeks, the percentage that indicated that their main occupation is healthcare support.",(Q64 == 'Healthcare support') / (any response to Q64),NA,Q64,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,occ_4w_protective,"Among respondents that worked for pay in the past 4 weeks, the percentage that indicated that their main occupation is protective service.",(Q64 == 'Protective service') / (any response to Q64),NA,Q64,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,occ_4w_food,"Among respondents that worked for pay in the past 4 weeks, the percentage that indicated that their main occupation is food preparation or serving related.",(Q64 == 'Food preparation...') / (any response to Q64),NA,Q64,NA,2020-09-06,2022-06-25,NA,NA
Sociodemographics,occ_4w_building,"Among respondents that worked for pay in the past 4 weeks, the percentage that indicated that their main occupation is building and grounds cleaning or maintenance.",(Q64 == 'Building and grounds cleaning...') / (any response to Q64),NA,Q64,NA,2020-09-06,2022-06-25,NA,NA
